SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
HB_HOUSTON,1,Friday,0,0.7902096800862972
HB_HOUSTON,1,Friday,1,0.7419509775359637
HB_HOUSTON,1,Friday,2,0.7381006747872096
HB_HOUSTON,1,Friday,3,0.7576356464020535
HB_HOUSTON,1,Friday,4,0.8228781997275655
HB_HOUSTON,1,Friday,5,0.9827720605025078
HB_HOUSTON,1,Friday,6,1.585285386959363
HB_HOUSTON,1,Friday,7,1.3857546672125856
HB_HOUSTON,1,Friday,8,1.1443902899931497
HB_HOUSTON,1,Friday,9,1.099037030621324
HB_HOUSTON,1,Friday,10,1.0502350338180988
HB_HOUSTON,1,Friday,11,0.9860790689983701
HB_HOUSTON,1,Friday,12,0.9463004810909978
HB_HOUSTON,1,Friday,13,0.9174113997307151
HB_HOUSTON,1,Friday,14,0.8914041400596837
HB_HOUSTON,1,Friday,15,0.8736880231175642
HB_HOUSTON,1,Friday,16,0.904065258300985
HB_HOUSTON,1,Friday,17,1.3253545191845864
HB_HOUSTON,1,Friday,18,1.3180082360259207
HB_HOUSTON,1,Friday,19,1.0777776902907805
HB_HOUSTON,1,Friday,20,1.011401305480973
HB_HOUSTON,1,Friday,21,0.9552766470083384
HB_HOUSTON,1,Friday,22,0.8772784894845004
HB_HOUSTON,1,Friday,23,0.8177050935804666
HB_HOUSTON,1,Monday,0,0.7507586923260482
HB_HOUSTON,1,Monday,1,0.7216967757330751
HB_HOUSTON,1,Monday,2,0.7170926853918389
HB_HOUSTON,1,Monday,3,0.7369688802796143
HB_HOUSTON,1,Monday,4,0.8008197526705128
HB_HOUSTON,1,Monday,5,0.906668912564394
HB_HOUSTON,1,Monday,6,1.50288738226583
HB_HOUSTON,1,Monday,7,1.3872685672576184
HB_HOUSTON,1,Monday,8,1.1700004211058237
HB_HOUSTON,1,Monday,9,1.14576718462683
HB_HOUSTON,1,Monday,10,1.060355694052582
HB_HOUSTON,1,Monday,11,0.9667242177959321
HB_HOUSTON,1,Monday,12,0.9370109908620036
HB_HOUSTON,1,Monday,13,0.9180106960879267
HB_HOUSTON,1,Monday,14,0.9063994048371021
HB_HOUSTON,1,Monday,15,0.8798304347215788
HB_HOUSTON,1,Monday,16,0.9110933310874355
HB_HOUSTON,1,Monday,17,1.3371625889586052
HB_HOUSTON,1,Monday,18,1.4039106694178913
HB_HOUSTON,1,Monday,19,1.1205906711023146
HB_HOUSTON,1,Monday,20,1.046700635869794
HB_HOUSTON,1,Monday,21,0.9788745245013405
HB_HOUSTON,1,Monday,22,0.8885445179040158
HB_HOUSTON,1,Monday,23,0.8048623685798908
HB_HOUSTON,1,Saturday,0,0.8808259102664093
HB_HOUSTON,1,Saturday,1,0.8166659825130331
HB_HOUSTON,1,Saturday,2,0.782357046098272
HB_HOUSTON,1,Saturday,3,0.7741061532777801
HB_HOUSTON,1,Saturday,4,0.8165182053281884
HB_HOUSTON,1,Saturday,5,0.8750872295882763
HB_HOUSTON,1,Saturday,6,1.0550059521366117
HB_HOUSTON,1,Saturday,7,1.1682771643200198
HB_HOUSTON,1,Saturday,8,1.3572102951438776
HB_HOUSTON,1,Saturday,9,1.3139608390460162
HB_HOUSTON,1,Saturday,10,1.153056114281023
HB_HOUSTON,1,Saturday,11,1.0665818316161078
HB_HOUSTON,1,Saturday,12,0.964787980788966
HB_HOUSTON,1,Saturday,13,0.9073026558844054
HB_HOUSTON,1,Saturday,14,0.8836829358400723
HB_HOUSTON,1,Saturday,15,0.864718197118345
HB_HOUSTON,1,Saturday,16,0.888387176224293
HB_HOUSTON,1,Saturday,17,1.1917244776487008
HB_HOUSTON,1,Saturday,18,1.3520873527359303
