SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
HB_PAN,4,Friday,0,0.9120306251069857
HB_PAN,4,Friday,1,0.877857487434058
HB_PAN,4,Friday,2,0.8313596115840091
HB_PAN,4,Friday,3,0.8382689345014862
HB_PAN,4,Friday,4,0.8726288106316429
HB_PAN,4,Friday,5,1.0955945285632034
HB_PAN,4,Friday,6,1.3546007687399824
HB_PAN,4,Friday,7,1.2167877873048973
HB_PAN,4,Friday,8,1.209504987472962
HB_PAN,4,Friday,9,1.2259379717091239
HB_PAN,4,Friday,10,1.2024089260982558
HB_PAN,4,Friday,11,1.1469476043012092
HB_PAN,4,Friday,12,1.0027855153203342
HB_PAN,4,Friday,13,1.0281819455034935
HB_PAN,4,Friday,14,1.1015701591945348
HB_PAN,4,Friday,15,1.1351830814957753
HB_PAN,4,Friday,16,1.5824216865594996
HB_PAN,4,Friday,17,1.2929770778543752
HB_PAN,4,Friday,18,0.9430292090070183
HB_PAN,4,Friday,19,0.869454256858748
HB_PAN,4,Friday,20,0.8612377647406672
HB_PAN,4,Friday,21,0.5421017413361138
HB_PAN,4,Friday,22,0.4806647889077357
HB_PAN,4,Friday,23,0.37646472977389084
HB_PAN,4,Monday,0,0.21154546428188925
HB_PAN,4,Monday,1,0.1711898896861947
HB_PAN,4,Monday,2,0.15885187961872121
HB_PAN,4,Monday,3,0.1917532397986505
HB_PAN,4,Monday,4,0.3738674092320874
HB_PAN,4,Monday,5,0.5872121666488165
HB_PAN,4,Monday,6,0.8265181535825211
HB_PAN,4,Monday,7,0.7621291635428938
HB_PAN,4,Monday,8,0.8879511620434829
HB_PAN,4,Monday,9,0.816364999464496
HB_PAN,4,Monday,10,0.8576202206276106
HB_PAN,4,Monday,11,0.9615936596337152
HB_PAN,4,Monday,12,0.9987362107743387
HB_PAN,4,Monday,13,1.2113098425618507
HB_PAN,4,Monday,14,1.3920102816750561
HB_PAN,4,Monday,15,1.9778087180036414
HB_PAN,4,Monday,16,2.681460854664239
HB_PAN,4,Monday,17,2.1297204669594088
HB_PAN,4,Monday,18,1.4173289065010175
HB_PAN,4,Monday,19,1.3566670236692728
HB_PAN,4,Monday,20,1.310656527792653
HB_PAN,4,Monday,21,1.034207989718325
HB_PAN,4,Monday,22,0.9259933597515261
HB_PAN,4,Monday,23,0.7575024097675913
HB_PAN,4,Saturday,0,0.5719303847996167
HB_PAN,4,Saturday,1,0.5142583426472936
HB_PAN,4,Saturday,2,0.4431741976688488
HB_PAN,4,Saturday,3,0.36461759540156474
HB_PAN,4,Saturday,4,0.40753632444515403
HB_PAN,4,Saturday,5,0.4711480121347596
HB_PAN,4,Saturday,6,0.48513491936771513
HB_PAN,4,Saturday,7,0.6395657033370588
HB_PAN,4,Saturday,8,0.8212038958965352
HB_PAN,4,Saturday,9,1.1538240459843525
HB_PAN,4,Saturday,10,1.3605620309755708
HB_PAN,4,Saturday,11,1.3368034488264409
HB_PAN,4,Saturday,12,1.253073606897653
HB_PAN,4,Saturday,13,1.1478844004470699
HB_PAN,4,Saturday,14,1.2490499760498162
HB_PAN,4,Saturday,15,1.5268721060194794
HB_PAN,4,Saturday,16,1.9437969024429187
HB_PAN,4,Saturday,17,1.741082548299537
HB_PAN,4,Saturday,18,1.5314705412741498
HB_PAN,4,Saturday,19,1.236787482037362
HB_PAN,4,Saturday,20,1.198467188248443
HB_PAN,4,Saturday,21,0.955708127095641
HB_PAN,4,Saturday,22,0.8568417691202298
HB_PAN,4,Saturday,23,0.7892064505827877
HB_PAN,4,Sunday,0,0.6663481446090143
HB_PAN,4,Sunday,1,0.6282847587195414
HB_PAN,4,Sunday,2,0.6056696926262144
HB_PAN,4,Sunday,3,0.619684663162924
HB_PAN,4,Sunday,4,0.692785475394171
HB_PAN,4,Sunday,5,0.7931199235547063
HB_PAN,4,Sunday,6,0.8987099856665074
HB_PAN,4,Sunday,7,1.0025481764612199
HB_PAN,4,Sunday,8,1.2170727822901737
HB_PAN,4,Sunday,9,1.3275999362955884
HB_PAN,4,Sunday,10,1.3478260869565217
HB_PAN,4,Sunday,11,1.4193342888995064
HB_PAN,4,Sunday,12,1.2782290173594522
HB_PAN,4,Sunday,13,1.3352444656792484
HB_PAN,4,Sunday,14,1.3105590062111803
HB_PAN,4,Sunday,15,1.1971651536868928
HB_PAN,4,Sunday,16,1.0753304666348145
HB_PAN,4,Sunday,17,1.1632425545469025
HB_PAN,4,Sunday,18,1.10479375696767
HB_PAN,4,Sunday,19,1.2259913999044434
HB_PAN,4,Sunday,20,1.453416149068323
HB_PAN,4,Sunday,21,0.7840420449116102
HB_PAN,4,Sunday,22,0.5910176779741997
HB_PAN,4,Sunday,23,0.2619843924191751
HB_PAN,4,Thursday,0,0.6154726700372031
HB_PAN,4,Thursday,1,0.568921110369169
HB_PAN,4,Thursday,2,0.3974053229037489
HB_PAN,4,Thursday,3,0.32338071162835064
HB_PAN,4,Thursday,4,0.3540971096060288
HB_PAN,4,Thursday,5,0.46189068014881235
HB_PAN,4,Thursday,6,0.8026328341123724
HB_PAN,4,Thursday,7,0.7034245921968901
HB_PAN,4,Thursday,8,0.7118191357435848
HB_PAN,4,Thursday,9,0.641228655919107
HB_PAN,4,Thursday,10,0.7370027663836688
HB_PAN,4,Thursday,11,0.7890870933892968
HB_PAN,4,Thursday,12,0.6860631498616807
HB_PAN,4,Thursday,13,0.8739864542592769
HB_PAN,4,Thursday,14,1.045502241724697
HB_PAN,4,Thursday,15,1.1803872937136315
HB_PAN,4,Thursday,16,1.8994562625202709
HB_PAN,4,Thursday,17,1.8254316512448725
HB_PAN,4,Thursday,18,1.5936277783077362
HB_PAN,4,Thursday,19,1.7269865496518173
HB_PAN,4,Thursday,20,2.1077935705427837
HB_PAN,4,Thursday,21,1.4757225984927977
HB_PAN,4,Thursday,22,1.3221406086044072
HB_PAN,4,Thursday,23,1.1565391586377944
HB_PAN,4,Tuesday,0,0.7615592553548608
HB_PAN,4,Tuesday,1,0.6698272663561033
HB_PAN,4,Tuesday,2,0.6180955129299938
HB_PAN,4,Tuesday,3,0.5796500568319012
HB_PAN,4,Tuesday,4,0.5821942414266279
HB_PAN,4,Tuesday,5,0.7200042403076579
HB_PAN,4,Tuesday,6,0.8988038798815069
HB_PAN,4,Tuesday,7,0.9379560539225791
HB_PAN,4,Tuesday,8,0.8463654085124177
HB_PAN,4,Tuesday,9,0.9335744026761053
HB_PAN,4,Tuesday,10,1.01498830970736
HB_PAN,4,Tuesday,11,1.0277092326809933
HB_PAN,4,Tuesday,12,1.0880629450114547
HB_PAN,4,Tuesday,13,1.1079923910034806
HB_PAN,4,Tuesday,14,1.4219165012750368
HB_PAN,4,Tuesday,15,2.269412658496222
HB_PAN,4,Tuesday,16,2.4773290773208325
HB_PAN,4,Tuesday,17,2.037043798844516
HB_PAN,4,Tuesday,18,1.0295466993327405
HB_PAN,4,Tuesday,19,0.8397222598484091
