SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
HB_SOUTH,1,Friday,0,0.7968611598252235
HB_SOUTH,1,Friday,1,0.7399102339268199
HB_SOUTH,1,Friday,2,0.7450940760336473
HB_SOUTH,1,Friday,3,0.764497815295901
HB_SOUTH,1,Friday,4,0.831483518116696
HB_SOUTH,1,Friday,5,0.9811491246321671
HB_SOUTH,1,Friday,6,1.605231400291294
HB_SOUTH,1,Friday,7,1.4219659364503758
HB_SOUTH,1,Friday,8,1.1712391879440003
HB_SOUTH,1,Friday,9,1.0952887673513063
HB_SOUTH,1,Friday,10,1.041215111613114
HB_SOUTH,1,Friday,11,0.9730642332728947
HB_SOUTH,1,Friday,12,0.922604999554142
HB_SOUTH,1,Friday,13,0.8960437535297089
HB_SOUTH,1,Friday,14,0.8678655292334215
HB_SOUTH,1,Friday,15,0.8505781291799186
HB_SOUTH,1,Friday,16,0.8893380495199595
HB_SOUTH,1,Friday,17,1.3003834378622596
HB_SOUTH,1,Friday,18,1.3143893231875874
HB_SOUTH,1,Friday,19,1.0921737062687633
HB_SOUTH,1,Friday,20,1.0225960823945546
HB_SOUTH,1,Friday,21,0.9753708052195107
HB_SOUTH,1,Friday,22,0.877828968879113
HB_SOUTH,1,Friday,23,0.8238266504176203
HB_SOUTH,1,Monday,0,0.7655122207235933
HB_SOUTH,1,Monday,1,0.731335955620517
HB_SOUTH,1,Monday,2,0.7286045632311695
HB_SOUTH,1,Monday,3,0.7499365120570658
HB_SOUTH,1,Monday,4,0.8133003007917652
HB_SOUTH,1,Monday,5,0.9193505606690783
HB_SOUTH,1,Monday,6,1.520866370577712
HB_SOUTH,1,Monday,7,1.3797143324736596
HB_SOUTH,1,Monday,8,1.1605257366012223
HB_SOUTH,1,Monday,9,1.1458981145491791
HB_SOUTH,1,Monday,10,1.0530307733113617
HB_SOUTH,1,Monday,11,0.9619693113392288
HB_SOUTH,1,Monday,12,0.9216304832420047
HB_SOUTH,1,Monday,13,0.8980637588248241
HB_SOUTH,1,Monday,14,0.880975626273286
HB_SOUTH,1,Monday,15,0.8633683034328636
HB_SOUTH,1,Monday,16,0.9012466210305927
HB_SOUTH,1,Monday,17,1.3134837104046861
HB_SOUTH,1,Monday,18,1.3918814440262077
HB_SOUTH,1,Monday,19,1.1376813638903154
HB_SOUTH,1,Monday,20,1.0619924491673203
HB_SOUTH,1,Monday,21,0.989531543631736
HB_SOUTH,1,Monday,22,0.898470081659603
HB_SOUTH,1,Monday,23,0.8116298624710072
HB_SOUTH,1,Saturday,0,0.8930351872683274
HB_SOUTH,1,Saturday,1,0.8239225274063867
HB_SOUTH,1,Saturday,2,0.7930895641959064
HB_SOUTH,1,Saturday,3,0.7869130093686051
HB_SOUTH,1,Saturday,4,0.8267617501899042
HB_SOUTH,1,Saturday,5,0.8930351872683274
HB_SOUTH,1,Saturday,6,1.081245771259926
HB_SOUTH,1,Saturday,7,1.1876917201788213
HB_SOUTH,1,Saturday,8,1.3774713483402583
HB_SOUTH,1,Saturday,9,1.326265716384889
HB_SOUTH,1,Saturday,10,1.1548165090012494
HB_SOUTH,1,Saturday,11,1.0617447937205027
HB_SOUTH,1,Saturday,12,0.9577644856399252
HB_SOUTH,1,Saturday,13,0.8927114162491544
HB_SOUTH,1,Saturday,14,0.8647674867482184
HB_SOUTH,1,Saturday,15,0.8456400911539946
HB_SOUTH,1,Saturday,16,0.8671833166605095
HB_SOUTH,1,Saturday,17,1.1691620556969171
HB_SOUTH,1,Saturday,18,1.333687544362856
HB_SOUTH,1,Saturday,19,1.1148432408648838
HB_SOUTH,1,Saturday,20,1.0260303597594134
HB_SOUTH,1,Saturday,21,0.9725832361328458
HB_SOUTH,1,Saturday,22,0.9063347045174359
HB_SOUTH,1,Saturday,23,0.8432989776307434
HB_SOUTH,1,Sunday,0,0.8454396776339929
HB_SOUTH,1,Sunday,1,0.7678330462468365
HB_SOUTH,1,Sunday,2,0.7376361069827314
HB_SOUTH,1,Sunday,3,0.7499984453799803
HB_SOUTH,1,Sunday,4,0.7825832809944594
HB_SOUTH,1,Sunday,5,0.8509865618645491
HB_SOUTH,1,Sunday,6,1.0505002767223635
HB_SOUTH,1,Sunday,7,1.1523838543383227
HB_SOUTH,1,Sunday,8,1.243919881102661
HB_SOUTH,1,Sunday,9,1.1927293530915173
HB_SOUTH,1,Sunday,10,1.0946763592042834
HB_SOUTH,1,Sunday,11,1.0216714030756604
HB_SOUTH,1,Sunday,12,0.9543128268588592
HB_SOUTH,1,Sunday,13,0.9199370689815995
HB_SOUTH,1,Sunday,14,0.890088364601924
HB_SOUTH,1,Sunday,15,0.8891680295502175
HB_SOUTH,1,Sunday,16,0.9210812693161539
HB_SOUTH,1,Sunday,17,1.272723880829048
HB_SOUTH,1,Sunday,18,1.5269602203829342
HB_SOUTH,1,Sunday,19,1.2003905205489676
HB_SOUTH,1,Sunday,20,1.100994334964648
HB_SOUTH,1,Sunday,21,1.0363967639029668
HB_SOUTH,1,Sunday,22,0.930259745912904
HB_SOUTH,1,Sunday,23,0.8673287275124214
HB_SOUTH,1,Thursday,0,0.7266127962572392
HB_SOUTH,1,Thursday,1,0.6845120084046974
HB_SOUTH,1,Thursday,2,0.6871472605236597
HB_SOUTH,1,Thursday,3,0.7170415605611682
HB_SOUTH,1,Thursday,4,0.8037308142665522
HB_SOUTH,1,Thursday,5,1.0483454569571096
HB_SOUTH,1,Thursday,6,1.9977319263429465
HB_SOUTH,1,Thursday,7,1.7612971062296483
HB_SOUTH,1,Thursday,8,1.2690109283905373
HB_SOUTH,1,Thursday,9,1.1210362514065657
HB_SOUTH,1,Thursday,10,1.0096599558507429
HB_SOUTH,1,Thursday,11,0.9318673132989754
HB_SOUTH,1,Thursday,12,0.8813126366488025
HB_SOUTH,1,Thursday,13,0.8525146014927825
HB_SOUTH,1,Thursday,14,0.8168859928444121
HB_SOUTH,1,Thursday,15,0.8159583840985373
HB_SOUTH,1,Thursday,16,0.8463164885089831
HB_SOUTH,1,Thursday,17,1.1981331873989272
HB_SOUTH,1,Thursday,18,1.2678303354412421
HB_SOUTH,1,Thursday,19,1.0382893348711495
HB_SOUTH,1,Thursday,20,0.9880087244413485
HB_SOUTH,1,Thursday,21,0.9020151772953705
HB_SOUTH,1,Thursday,22,0.8450094034579778
HB_SOUTH,1,Thursday,23,0.7897323550106244
HB_SOUTH,1,Tuesday,0,0.6208446204404499
HB_SOUTH,1,Tuesday,1,0.5847002160388389
HB_SOUTH,1,Tuesday,2,0.5861244364465701
HB_SOUTH,1,Tuesday,3,0.6163025121130907
HB_SOUTH,1,Tuesday,4,0.7061631213522396
HB_SOUTH,1,Tuesday,5,0.8541858126476546
HB_SOUTH,1,Tuesday,6,1.537195729263399
HB_SOUTH,1,Tuesday,7,1.486193241689241
HB_SOUTH,1,Tuesday,8,1.1906867533067413
HB_SOUTH,1,Tuesday,9,1.1250378909990233
HB_SOUTH,1,Tuesday,10,1.019626334605188
HB_SOUTH,1,Tuesday,11,0.95565189358764
HB_SOUTH,1,Tuesday,12,0.916505078596758
HB_SOUTH,1,Tuesday,13,0.8834978083365009
HB_SOUTH,1,Tuesday,14,0.8633277679675508
HB_SOUTH,1,Tuesday,15,0.8736822352561913
HB_SOUTH,1,Tuesday,16,0.928572459619021
HB_SOUTH,1,Tuesday,17,1.486635904788941
HB_SOUTH,1,Tuesday,18,1.6496129103655337
HB_SOUTH,1,Tuesday,19,1.259915412855514
HB_SOUTH,1,Tuesday,20,1.115895935679127
HB_SOUTH,1,Tuesday,21,1.0159310600337772
HB_SOUTH,1,Tuesday,22,0.8960655911236426
HB_SOUTH,1,Tuesday,23,0.8276452728873663
HB_SOUTH,1,Wednesday,0,0.5779907024021285
HB_SOUTH,1,Wednesday,1,0.5484536390678485
HB_SOUTH,1,Wednesday,2,0.5505762417973362
HB_SOUTH,1,Wednesday,3,0.571114665391112
HB_SOUTH,1,Wednesday,4,0.677469020463684
HB_SOUTH,1,Wednesday,5,1.0455462712447121
HB_SOUTH,1,Wednesday,6,3.438616421770131
HB_SOUTH,1,Wednesday,7,3.4675555688425836
HB_SOUTH,1,Wednesday,8,1.585389916142244
HB_SOUTH,1,Wednesday,9,0.8979356941060403
HB_SOUTH,1,Wednesday,10,0.8365894856425357
HB_SOUTH,1,Wednesday,11,0.7619844840730056
HB_SOUTH,1,Wednesday,12,0.714778995201722
HB_SOUTH,1,Wednesday,13,0.6863331290452771
HB_SOUTH,1,Wednesday,14,0.6522817979341993
HB_SOUTH,1,Wednesday,15,0.6434176893526061
HB_SOUTH,1,Wednesday,16,0.6705481397330303
HB_SOUTH,1,Wednesday,17,0.9476972749966366
HB_SOUTH,1,Wednesday,18,1.0413758053184652
HB_SOUTH,1,Wednesday,19,0.859878324040718
HB_SOUTH,1,Wednesday,20,0.8079642446075427
HB_SOUTH,1,Wednesday,21,0.7440768920312709
HB_SOUTH,1,Wednesday,22,0.6680966830595375
HB_SOUTH,1,Wednesday,23,0.6043289137356312
HB_SOUTH,2,Friday,0,0.7024763278568666
HB_SOUTH,2,Friday,1,0.6568301867218636
HB_SOUTH,2,Friday,2,0.6379789232401349
HB_SOUTH,2,Friday,3,0.6741105115801147
HB_SOUTH,2,Friday,4,0.7376594249524828
HB_SOUTH,2,Friday,5,0.8596887516101503
HB_SOUTH,2,Friday,6,1.5688934392317222
HB_SOUTH,2,Friday,7,1.3019524346461127
HB_SOUTH,2,Friday,8,1.184132037885309
HB_SOUTH,2,Friday,9,1.1552326952836025
HB_SOUTH,2,Friday,10,1.0904685275043935
HB_SOUTH,2,Friday,11,1.058249465547414
HB_SOUTH,2,Friday,12,1.0095503682196152
HB_SOUTH,2,Friday,13,1.0128404472235017
HB_SOUTH,2,Friday,14,1.0140557016303429
HB_SOUTH,2,Friday,15,1.0013992715883646
HB_SOUTH,2,Friday,16,1.0072384208114786
HB_SOUTH,2,Friday,17,1.1733725903320582
HB_SOUTH,2,Friday,18,1.5016394819360583
HB_SOUTH,2,Friday,19,1.0693053166145283
HB_SOUTH,2,Friday,20,0.9997394119107282
HB_SOUTH,2,Friday,21,0.9432152618169288
HB_SOUTH,2,Friday,22,0.855865146281309
HB_SOUTH,2,Friday,23,0.7841058555749179
HB_SOUTH,2,Monday,0,0.6823303203347247
HB_SOUTH,2,Monday,1,0.6299501827371552
HB_SOUTH,2,Monday,2,0.6163898425469214
HB_SOUTH,2,Monday,3,0.6480010930993182
HB_SOUTH,2,Monday,4,0.7236022054017325
HB_SOUTH,2,Monday,5,0.8831060761796671
HB_SOUTH,2,Monday,6,1.437721035637746
HB_SOUTH,2,Monday,7,1.312191873397434
HB_SOUTH,2,Monday,8,1.147724740850525
HB_SOUTH,2,Monday,9,1.1286102743950102
HB_SOUTH,2,Monday,10,1.0624629940334998
HB_SOUTH,2,Monday,11,1.0381784632353033
HB_SOUTH,2,Monday,12,1.0198912070746178
HB_SOUTH,2,Monday,13,1.026213457185097
HB_SOUTH,2,Monday,14,1.0095215351644389
HB_SOUTH,2,Monday,15,1.0250021849676687
HB_SOUTH,2,Monday,16,1.0099351403118535
HB_SOUTH,2,Monday,17,1.1639735144989531
HB_SOUTH,2,Monday,18,1.6449372144924288
HB_SOUTH,2,Monday,19,1.1549923741550945
HB_SOUTH,2,Monday,20,1.048459505471036
HB_SOUTH,2,Monday,21,0.9755763698516315
HB_SOUTH,2,Monday,22,0.859116977629624
HB_SOUTH,2,Monday,23,0.7521114173485202
HB_SOUTH,2,Saturday,0,0.8085038401159759
HB_SOUTH,2,Saturday,1,0.7350207750472341
HB_SOUTH,2,Saturday,2,0.716230150818789
HB_SOUTH,2,Saturday,3,0.7254828696631498
HB_SOUTH,2,Saturday,4,0.7669299801029577
HB_SOUTH,2,Saturday,5,0.8532781268525571
HB_SOUTH,2,Saturday,6,0.9725494752435638
HB_SOUTH,2,Saturday,7,1.0660589728795522
HB_SOUTH,2,Saturday,8,1.218570396844992
HB_SOUTH,2,Saturday,9,1.3305536447763993
HB_SOUTH,2,Saturday,10,1.236378711881056
HB_SOUTH,2,Saturday,11,1.0851347836477205
HB_SOUTH,2,Saturday,12,1.0322802116189749
HB_SOUTH,2,Saturday,13,1.0523700189728267
HB_SOUTH,2,Saturday,14,1.027368665657071
HB_SOUTH,2,Saturday,15,1.0101624110937564
HB_SOUTH,2,Saturday,16,1.0047121794457081
HB_SOUTH,2,Saturday,17,1.1504425012443904
HB_SOUTH,2,Saturday,18,1.524322054821831
HB_SOUTH,2,Saturday,19,1.0862121550200092
HB_SOUTH,2,Saturday,20,1.0205558760970108
HB_SOUTH,2,Saturday,21,0.9339859175942931
HB_SOUTH,2,Saturday,22,0.8634497801026936
HB_SOUTH,2,Saturday,23,0.7794465004574866
HB_SOUTH,2,Sunday,0,0.7627155987711545
HB_SOUTH,2,Sunday,1,0.6909137771200285
HB_SOUTH,2,Sunday,2,0.6417267024456352
HB_SOUTH,2,Sunday,3,0.6579893660803737
HB_SOUTH,2,Sunday,4,0.6910800620242693
HB_SOUTH,2,Sunday,5,0.7448233430748573
HB_SOUTH,2,Sunday,6,0.9165623921746324
HB_SOUTH,2,Sunday,7,0.9981417661951103
HB_SOUTH,2,Sunday,8,1.1694152175630115
HB_SOUTH,2,Sunday,9,1.2205977110882928
HB_SOUTH,2,Sunday,10,1.1450045936204796
HB_SOUTH,2,Sunday,11,1.091128284646499
HB_SOUTH,2,Sunday,12,1.066950459569904
HB_SOUTH,2,Sunday,13,1.0511533936670392
HB_SOUTH,2,Sunday,14,1.0387152828298363
HB_SOUTH,2,Sunday,15,1.0284721327286104
HB_SOUTH,2,Sunday,16,1.0260111161458483
HB_SOUTH,2,Sunday,17,1.1931607018885806
HB_SOUTH,2,Sunday,18,1.7512128405203056
HB_SOUTH,2,Sunday,19,1.2263511687750206
HB_SOUTH,2,Sunday,20,1.0942544408462236
HB_SOUTH,2,Sunday,21,1.0213883958079575
HB_SOUTH,2,Sunday,22,0.9356186422006143
HB_SOUTH,2,Sunday,23,0.836612610215713
HB_SOUTH,2,Thursday,0,0.6499699738610625
HB_SOUTH,2,Thursday,1,0.61121756616340694
HB_SOUTH,2,Thursday,2,0.5995260604459816
HB_SOUTH,2,Thursday,3,0.6277232212938899
HB_SOUTH,2,Thursday,4,0.6841773460880053
HB_SOUTH,2,Thursday,5,0.8864314245347193
HB_SOUTH,2,Thursday,6,1.6877331386410241
HB_SOUTH,2,Thursday,7,1.3846510364624474
HB_SOUTH,2,Thursday,8,1.1452592339721466
HB_SOUTH,2,Thursday,9,1.1075234789455717
HB_SOUTH,2,Thursday,10,1.0692195944851575
HB_SOUTH,2,Thursday,11,1.0326799014245596
HB_SOUTH,2,Thursday,12,1.0045126421258008
HB_SOUTH,2,Thursday,13,0.9965887316012031
HB_SOUTH,2,Thursday,14,0.9722787721427202
HB_SOUTH,2,Thursday,15,0.980352190413065
HB_SOUTH,2,Thursday,16,0.9932995611947663
HB_SOUTH,2,Thursday,17,1.1454386432670431
HB_SOUTH,2,Thursday,18,1.6061617125613916
