SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
HB_WEST,1,Friday,0,0.783362470239749
HB_WEST,1,Friday,1,0.7358657508131975
HB_WEST,1,Friday,2,0.7458677597637132
HB_WEST,1,Friday,3,0.7694109500626194
HB_WEST,1,Friday,4,0.8405021521416695
HB_WEST,1,Friday,5,0.9872752219462884
HB_WEST,1,Friday,6,1.630558274525225
HB_WEST,1,Friday,7,1.4361346082332775
HB_WEST,1,Friday,8,1.1773903305364752
HB_WEST,1,Friday,9,1.0894752364791218
HB_WEST,1,Friday,10,1.0470821062350129
HB_WEST,1,Friday,11,0.9668095728629255
HB_WEST,1,Friday,12,0.906771872983035
HB_WEST,1,Friday,13,0.8718674263634147
HB_WEST,1,Friday,14,0.8383735194675854
HB_WEST,1,Friday,15,0.8244989378208443
HB_WEST,1,Friday,16,0.8790740020431455
HB_WEST,1,Friday,17,1.311596773710959
HB_WEST,1,Friday,18,1.3442700029493102
HB_WEST,1,Friday,19,1.1024009095844036
HB_WEST,1,Friday,20,1.0191790658807538
HB_WEST,1,Friday,21,0.9827102024765657
HB_WEST,1,Friday,22,0.8825105897338354
HB_WEST,1,Friday,23,0.8270122631468714
HB_WEST,1,Monday,0,0.7415636156355445
HB_WEST,1,Monday,1,0.7160380273345686
HB_WEST,1,Monday,2,0.7113391654421548
HB_WEST,1,Monday,3,0.7455772268353145
HB_WEST,1,Monday,4,0.8139554566655416
HB_WEST,1,Monday,5,0.9224453252544452
HB_WEST,1,Monday,6,1.5730174382025222
HB_WEST,1,Monday,7,1.4267653618011489
HB_WEST,1,Monday,8,1.1844802954735725
HB_WEST,1,Monday,9,1.1727820872205843
HB_WEST,1,Monday,10,1.0710957790800713
HB_WEST,1,Monday,11,0.9731294032710522
HB_WEST,1,Monday,12,0.9244521308543302
HB_WEST,1,Monday,13,0.8958918609145038
HB_WEST,1,Monday,14,0.87220176554025175
HB_WEST,1,Monday,15,0.8531126391023215
HB_WEST,1,Monday,16,0.8850012695492743
HB_WEST,1,Monday,17,1.324393802967992
HB_WEST,1,Monday,18,1.3984498242515522
HB_WEST,1,Monday,19,1.1116479361411615
HB_WEST,1,Monday,20,1.0317183374920844
HB_WEST,1,Monday,21,0.9669866202762825
HB_WEST,1,Monday,22,0.8847075906809984
HB_WEST,1,Monday,23,0.7992470400127261
HB_WEST,1,Saturday,0,0.86209301311947
HB_WEST,1,Saturday,1,0.7988057359543217
HB_WEST,1,Saturday,2,0.7669528832323584
HB_WEST,1,Saturday,3,0.7621932615612605
HB_WEST,1,Saturday,4,0.8079327027851633
HB_WEST,1,Saturday,5,0.8906245913786339
HB_WEST,1,Saturday,6,1.083493876127795
HB_WEST,1,Saturday,7,1.207688619622543
HB_WEST,1,Saturday,8,1.402310072789086
HB_WEST,1,Saturday,9,1.3471298435252583
HB_WEST,1,Saturday,10,1.1658719435121823
HB_WEST,1,Saturday,11,1.0714379113455086
HB_WEST,1,Saturday,12,0.9625681035609991
HB_WEST,1,Saturday,13,0.9043804210434556
HB_WEST,1,Saturday,14,0.8786209301311947
HB_WEST,1,Saturday,15,0.8641066992110884
HB_WEST,1,Saturday,16,0.8850019613825568
HB_WEST,1,Saturday,17,1.2033474262302228
HB_WEST,1,Saturday,18,1.3628732075142747
HB_WEST,1,Saturday,19,1.1221200366124744
HB_WEST,1,Saturday,20,1.0047770561827138
HB_WEST,1,Saturday,21,0.9414374754827181
HB_WEST,1,Saturday,22,0.8915137514710371
HB_WEST,1,Saturday,23,0.8127184762236849
HB_WEST,1,Sunday,0,0.8320877452456055
HB_WEST,1,Sunday,1,0.7547609387065954
HB_WEST,1,Sunday,2,0.7332958129916366
HB_WEST,1,Sunday,3,0.7430336505111056
HB_WEST,1,Sunday,4,0.7892098477808462
HB_WEST,1,Sunday,5,0.8502807481381621
HB_WEST,1,Sunday,6,1.0617907673782445
HB_WEST,1,Sunday,7,1.1725979346360746
HB_WEST,1,Sunday,8,1.2697930709527114
HB_WEST,1,Sunday,9,1.218355300184548
HB_WEST,1,Sunday,10,1.115270342787587
HB_WEST,1,Sunday,11,1.0384408989175817
HB_WEST,1,Sunday,12,0.9746737693546066
HB_WEST,1,Sunday,13,0.9322932345588525
HB_WEST,1,Sunday,14,0.89622135256469
HB_WEST,1,Sunday,15,0.8906980092404748
HB_WEST,1,Sunday,16,0.9182885488789707
HB_WEST,1,Sunday,17,1.2820177218172062
HB_WEST,1,Sunday,18,1.5271389866890044
HB_WEST,1,Sunday,19,1.169875528447836
HB_WEST,1,Sunday,20,1.0657696687302856
HB_WEST,1,Sunday,21,1.004855830268445
HB_WEST,1,Sunday,22,0.9103045691923092
HB_WEST,1,Sunday,23,0.8489457220266221
HB_WEST,1,Thursday,0,0.7176876972620545
HB_WEST,1,Thursday,1,0.6892310246401884
