SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
LZ_AEN,1,Friday,0,0.7944508196968191
LZ_AEN,1,Friday,1,0.7415613244059721
LZ_AEN,1,Friday,2,0.7472237532867688
LZ_AEN,1,Friday,3,0.768668696707659
LZ_AEN,1,Friday,4,0.8334854358112483
LZ_AEN,1,Friday,5,0.980274868755139
LZ_AEN,1,Friday,6,1.6022264188450452
LZ_AEN,1,Friday,7,1.4158722700617143
LZ_AEN,1,Friday,8,1.1670868309373428
LZ_AEN,1,Friday,9,1.0883670217732437
LZ_AEN,1,Friday,10,1.034585995126697
LZ_AEN,1,Friday,11,0.9756726393243638
LZ_AEN,1,Friday,12,0.9254336426585706
LZ_AEN,1,Friday,13,0.8911940195112842
LZ_AEN,1,Friday,14,0.8608096670913489
LZ_AEN,1,Friday,15,0.8452922024137609
LZ_AEN,1,Friday,16,0.8854352088623035
LZ_AEN,1,Friday,17,1.307683735275426
LZ_AEN,1,Friday,18,1.3241650176348516
LZ_AEN,1,Friday,19,1.0965353766268189
LZ_AEN,1,Friday,20,1.0209479749286925
LZ_AEN,1,Friday,21,0.9755762575561799
LZ_AEN,1,Friday,22,0.88444729573842
LZ_AEN,1,Friday,23,0.8330035269703294
LZ_AEN,1,Monday,0,0.7643121828858104
LZ_AEN,1,Monday,1,0.7322273530585485
LZ_AEN,1,Monday,2,0.7305854854341257
LZ_AEN,1,Monday,3,0.7511772418904281
LZ_AEN,1,Monday,4,0.8136138190525055
LZ_AEN,1,Monday,5,0.921999885981415
LZ_AEN,1,Monday,6,1.5348497805142238
LZ_AEN,1,Monday,7,1.3955874807593638
LZ_AEN,1,Monday,8,1.1728407730460064
LZ_AEN,1,Monday,9,1.1527735020808392
LZ_AEN,1,Monday,10,1.0538053702753547
LZ_AEN,1,Monday,11,0.9609486346274443
LZ_AEN,1,Monday,12,0.915044752294624
LZ_AEN,1,Monday,13,0.8911464568724702
LZ_AEN,1,Monday,14,0.8727438572487315
LZ_AEN,1,Monday,15,0.8560515364004332
LZ_AEN,1,Monday,16,0.892241035288752
LZ_AEN,1,Monday,17,1.3148167151245653
LZ_AEN,1,Monday,18,1.3946753320791287
LZ_AEN,1,Monday,19,1.1299241776409554
LZ_AEN,1,Monday,20,1.051981072914885
LZ_AEN,1,Monday,21,0.9785987115899891
LZ_AEN,1,Monday,22,0.9039849495467761
LZ_AEN,1,Monday,23,0.814069893392623
LZ_AEN,1,Saturday,0,0.8827785576526553
LZ_AEN,1,Saturday,1,0.8176467402850038
LZ_AEN,1,Saturday,2,0.7875301478337298
LZ_AEN,1,Saturday,3,0.7824315711863771
LZ_AEN,1,Saturday,4,0.8247447587548475
LZ_AEN,1,Saturday,5,0.8926757946739869
LZ_AEN,1,Saturday,6,1.0739002028600348
LZ_AEN,1,Saturday,7,1.18404445425652
LZ_AEN,1,Saturday,8,1.377890338947044
LZ_AEN,1,Saturday,9,1.3272044887468917
LZ_AEN,1,Saturday,10,1.1540028408735894
LZ_AEN,1,Saturday,11,1.0620035240162122
LZ_AEN,1,Saturday,12,0.9568828701987362
LZ_AEN,1,Saturday,13,0.8944502992914478
LZ_AEN,1,Saturday,14,0.8678827160750957
LZ_AEN,1,Saturday,15,0.8493628861942708
LZ_AEN,1,Saturday,16,0.8733811810869465
LZ_AEN,1,Saturday,17,1.1792707869053223
LZ_AEN,1,Saturday,18,1.337276676927691
LZ_AEN,1,Saturday,19,1.119187560139461
LZ_AEN,1,Saturday,20,1.0251888014595925
LZ_AEN,1,Saturday,21,0.9698542490221481
LZ_AEN,1,Saturday,22,0.9111206454864684
LZ_AEN,1,Saturday,23,0.8492879071259274
LZ_AEN,1,Sunday,0,0.8495968724043391
LZ_AEN,1,Sunday,1,0.7726310398880859
LZ_AEN,1,Sunday,2,0.7427040462644342
LZ_AEN,1,Sunday,3,0.7560437913354109
LZ_AEN,1,Sunday,4,0.7877694022720034
LZ_AEN,1,Sunday,5,0.8545180892189128
LZ_AEN,1,Sunday,6,1.054539322895524
LZ_AEN,1,Sunday,7,1.1602330708268018
LZ_AEN,1,Sunday,8,1.2493145894093916
LZ_AEN,1,Sunday,9,1.1982788231547
LZ_AEN,1,Sunday,10,1.096107367461264
LZ_AEN,1,Sunday,11,1.0246373100678852
LZ_AEN,1,Sunday,12,0.9583632582452238
LZ_AEN,1,Sunday,13,0.9208920642256265
LZ_AEN,1,Sunday,14,0.8894412420451777
LZ_AEN,1,Sunday,15,0.8865184889116492
LZ_AEN,1,Sunday,16,0.91659536731137925
LZ_AEN,1,Sunday,17,1.2685997639314777
LZ_AEN,1,Sunday,18,1.518033012121931
LZ_AEN,1,Sunday,19,1.189185813405944
LZ_AEN,1,Sunday,20,1.0896873028859064
LZ_AEN,1,Sunday,21,1.0252118683761857
LZ_AEN,1,Sunday,22,0.926837493676736
LZ_AEN,1,Sunday,23,0.8642605996640083
LZ_AEN,1,Thursday,0,0.7243729277043598
LZ_AEN,1,Thursday,1,0.6894522558306329
LZ_AEN,1,Thursday,2,0.6949106254650492
LZ_AEN,1,Thursday,3,0.7243084587716698
LZ_AEN,1,Thursday,4,0.8105034217781427
LZ_AEN,1,Thursday,5,1.0557002624422802
LZ_AEN,1,Thursday,6,1.9813881772931463
LZ_AEN,1,Thursday,7,1.7409405480038358
LZ_AEN,1,Thursday,8,1.2554465055599977
LZ_AEN,1,Thursday,9,1.102590666152109
LZ_AEN,1,Thursday,10,1.013516090818818
LZ_AEN,1,Thursday,11,0.9292981750815039
LZ_AEN,1,Thursday,12,0.8821284059966851
LZ_AEN,1,Thursday,13,0.8528165312669845
LZ_AEN,1,Thursday,14,0.8149302884895198
LZ_AEN,1,Thursday,15,0.81456496453761
LZ_AEN,1,Thursday,16,0.8499798982286264
LZ_AEN,1,Thursday,17,1.212768072119246
LZ_AEN,1,Thursday,18,1.279106603857212
LZ_AEN,1,Thursday,19,1.0410443250774297
LZ_AEN,1,Thursday,20,0.9860093462044363
LZ_AEN,1,Thursday,21,0.9041123120439607
LZ_AEN,1,Thursday,22,0.8501733050266964
LZ_AEN,1,Thursday,23,0.7899378322500463
LZ_AEN,1,Tuesday,0,0.6324922965437345
LZ_AEN,1,Tuesday,1,0.6039064747172487
LZ_AEN,1,Tuesday,2,0.6061567262019218
LZ_AEN,1,Tuesday,3,0.6356769744923824
LZ_AEN,1,Tuesday,4,0.7172199859200366
LZ_AEN,1,Tuesday,5,0.8763203938575762
LZ_AEN,1,Tuesday,6,1.566289452899662
LZ_AEN,1,Tuesday,7,1.5017568171019113
LZ_AEN,1,Tuesday,8,1.2218865561776238
LZ_AEN,1,Tuesday,9,1.1528534174105263
LZ_AEN,1,Tuesday,10,1.0141387623299003
LZ_AEN,1,Tuesday,11,0.9457730710370703
LZ_AEN,1,Tuesday,12,0.9031517823231304
LZ_AEN,1,Tuesday,13,0.8764920232081022
LZ_AEN,1,Tuesday,14,0.8493364459693324
LZ_AEN,1,Tuesday,15,0.8500229633714361
LZ_AEN,1,Tuesday,16,0.8991661674053615
LZ_AEN,1,Tuesday,17,1.463445332078956
LZ_AEN,1,Tuesday,18,1.6353035217389231
LZ_AEN,1,Tuesday,19,1.2445225605192107
LZ_AEN,1,Tuesday,20,1.099190640479418
LZ_AEN,1,Tuesday,21,1.0013428407518001
LZ_AEN,1,Tuesday,22,0.8845967425384935
LZ_AEN,1,Tuesday,23,0.8189580509262423
LZ_AEN,1,Wednesday,0,0.575447078675544
LZ_AEN,1,Wednesday,1,0.5523182252801585
LZ_AEN,1,Wednesday,2,0.5587412315033881
LZ_AEN,1,Wednesday,3,0.579563230550994
LZ_AEN,1,Wednesday,4,0.6876838353086926
LZ_AEN,1,Wednesday,5,1.0541872044971097
LZ_AEN,1,Wednesday,6,3.4383287116670793
LZ_AEN,1,Wednesday,7,3.466493443181147
LZ_AEN,1,Wednesday,8,1.5900106673166736
LZ_AEN,1,Wednesday,9,0.899869202866229
LZ_AEN,1,Wednesday,10,0.8448816355044485
LZ_AEN,1,Wednesday,11,0.7665239750769266
LZ_AEN,1,Wednesday,12,0.7280010152169462
LZ_AEN,1,Wednesday,13,0.690216851847431
LZ_AEN,1,Wednesday,14,0.6545586130729285
LZ_AEN,1,Wednesday,15,0.6445019343149611
LZ_AEN,1,Wednesday,16,0.6690329932942911
LZ_AEN,1,Wednesday,17,0.948750391072122
LZ_AEN,1,Wednesday,18,1.02855548952178
LZ_AEN,1,Wednesday,19,0.840795638587793
LZ_AEN,1,Wednesday,20,0.7896528284723121
LZ_AEN,1,Wednesday,21,0.7271415988913028
LZ_AEN,1,Wednesday,22,0.6620219653745686
LZ_AEN,1,Wednesday,23,0.602722238905174
LZ_AEN,2,Friday,0,0.7151563142121142
LZ_AEN,2,Friday,1,0.6702617097837963
LZ_AEN,2,Friday,2,0.6557077991720709
