SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
LZ_CPS,1,Friday,0,0.7939211743957642
LZ_CPS,1,Friday,1,0.7348772233134847
LZ_CPS,1,Friday,2,0.7405963824967488
LZ_CPS,1,Friday,3,0.7593746743899756
LZ_CPS,1,Friday,4,0.8286297558358964
LZ_CPS,1,Friday,5,0.9903870273107216
LZ_CPS,1,Friday,6,1.6218099865318045
LZ_CPS,1,Friday,7,1.4340502220901556
LZ_CPS,1,Friday,8,1.1779615558274064
LZ_CPS,1,Friday,9,1.0954389512559382
LZ_CPS,1,Friday,10,1.0432024204160861
LZ_CPS,1,Friday,11,0.97461881919816
LZ_CPS,1,Friday,12,0.9236557853424355
LZ_CPS,1,Friday,13,0.8988573258878783
LZ_CPS,1,Friday,14,0.8711414006151377
LZ_CPS,1,Friday,15,0.851737937475157
LZ_CPS,1,Friday,16,0.8843394602688235
LZ_CPS,1,Friday,17,1.2912101694522806
LZ_CPS,1,Friday,18,1.3069320685836012
LZ_CPS,1,Friday,19,1.092938266268924
LZ_CPS,1,Friday,20,1.0222707608951527
LZ_CPS,1,Friday,21,0.9726969964766583
LZ_CPS,1,Friday,22,0.8716507994087886
LZ_CPS,1,Friday,23,0.8177008362630195
LZ_CPS,1,Monday,0,0.76341961410229775
LZ_CPS,1,Monday,1,0.7292428750412978
LZ_CPS,1,Monday,2,0.7261678471052181
LZ_CPS,1,Monday,3,0.7471439305263331
LZ_CPS,1,Monday,4,0.8088421696152462
LZ_CPS,1,Monday,5,0.9158311773055617
LZ_CPS,1,Monday,6,1.5245549217377934
LZ_CPS,1,Monday,7,1.3939101634249222
LZ_CPS,1,Monday,8,1.179580716280168
LZ_CPS,1,Monday,9,1.1501922350053493
LZ_CPS,1,Monday,10,1.04900185142307
LZ_CPS,1,Monday,11,0.9584862076760384
LZ_CPS,1,Monday,12,0.9168415436274164
LZ_CPS,1,Monday,13,0.8949209873402199
LZ_CPS,1,Monday,14,0.8761852814153914
LZ_CPS,1,Monday,15,0.8564831381392237
LZ_CPS,1,Monday,16,0.898413340496196
LZ_CPS,1,Monday,17,1.2941694358696518
LZ_CPS,1,Monday,18,1.397051084816775
LZ_CPS,1,Monday,19,1.1470513136134965
LZ_CPS,1,Monday,20,1.0744806543220158
LZ_CPS,1,Monday,21,1.001536598781154
LZ_CPS,1,Monday,22,0.8907696996265122
LZ_CPS,1,Monday,23,0.8057232127086512
LZ_CPS,1,Saturday,0,0.89952849356074
LZ_CPS,1,Saturday,1,0.8313348607723464
LZ_CPS,1,Saturday,2,0.7997430173372096
LZ_CPS,1,Saturday,3,0.7947330714190894
LZ_CPS,1,Saturday,4,0.8328670286987618
LZ_CPS,1,Saturday,5,0.9056085250147695
LZ_CPS,1,Saturday,6,1.1289888806358093
LZ_CPS,1,Saturday,7,1.2404236971252598
LZ_CPS,1,Saturday,8,1.3870497356706324
LZ_CPS,1,Saturday,9,1.329265116731537
LZ_CPS,1,Saturday,10,1.157686629098828
LZ_CPS,1,Saturday,11,1.0635191019388206
LZ_CPS,1,Saturday,12,0.9517924439395766
LZ_CPS,1,Saturday,13,0.8828935275025156
LZ_CPS,1,Saturday,14,0.8520556079676785
LZ_CPS,1,Saturday,15,0.8310916595141852
LZ_CPS,1,Saturday,16,0.8504261595379987
LZ_CPS,1,Saturday,17,1.1485909020435998
LZ_CPS,1,Saturday,18,1.3097603758270109
LZ_CPS,1,Saturday,19,1.1004613730535033
LZ_CPS,1,Saturday,20,1.018259347795026
LZ_CPS,1,Saturday,21,0.9623960187954039
LZ_CPS,1,Saturday,22,0.8922081356900886
LZ_CPS,1,Saturday,23,0.8293162903296086
LZ_CPS,1,Sunday,0,0.843522245464728
LZ_CPS,1,Sunday,1,0.7669276760278841
LZ_CPS,1,Sunday,2,0.7366826409169254
LZ_CPS,1,Sunday,3,0.7479754300005627
LZ_CPS,1,Sunday,4,0.7781959155700353
LZ_CPS,1,Sunday,5,0.847057379438736
LZ_CPS,1,Sunday,6,1.0532980774640324
LZ_CPS,1,Sunday,7,1.153263810395708
LZ_CPS,1,Sunday,8,1.240733826710924
LZ_CPS,1,Sunday,9,1.1869948803977026
LZ_CPS,1,Sunday,10,1.0871518951734578
LZ_CPS,1,Sunday,11,1.0161055221124882
LZ_CPS,1,Sunday,12,0.9508773903837401
LZ_CPS,1,Sunday,13,0.918251049748623
LZ_CPS,1,Sunday,14,0.8898226807076406
LZ_CPS,1,Sunday,15,0.8903382210788501
LZ_CPS,1,Sunday,16,0.921614336932228
LZ_CPS,1,Sunday,17,1.2685484572147523
LZ_CPS,1,Sunday,18,1.5243301299591352
LZ_CPS,1,Sunday,19,1.210145098019159
LZ_CPS,1,Sunday,20,1.1136163008955469
