SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
LZ_HOUSTON,1,Friday,0,0.789133429893666
LZ_HOUSTON,1,Friday,1,0.7413007383332745
LZ_HOUSTON,1,Friday,2,0.7371086068228118
LZ_HOUSTON,1,Friday,3,0.756350019429823
LZ_HOUSTON,1,Friday,4,0.8209747883326857
LZ_HOUSTON,1,Friday,5,0.9805584013377139
LZ_HOUSTON,1,Friday,6,1.5814462853711098
LZ_HOUSTON,1,Friday,7,1.3879959020736923
LZ_HOUSTON,1,Friday,8,1.1443341458532048
LZ_HOUSTON,1,Friday,9,1.098738827851768
LZ_HOUSTON,1,Friday,10,1.0491868913460747
LZ_HOUSTON,1,Friday,11,0.9876473428245075
LZ_HOUSTON,1,Friday,12,0.947774990873871
LZ_HOUSTON,1,Friday,13,0.9196547379329023
LZ_HOUSTON,1,Friday,14,0.8941486793608177
LZ_HOUSTON,1,Friday,15,0.8754253953674592
LZ_HOUSTON,1,Friday,16,0.9050764828487653
LZ_HOUSTON,1,Friday,17,1.3283875602030122
LZ_HOUSTON,1,Friday,18,1.3186844243473346
LZ_HOUSTON,1,Friday,19,1.0774720033913872
LZ_HOUSTON,1,Friday,20,1.0119051824637015
LZ_HOUSTON,1,Friday,21,0.9541102907408062
LZ_HOUSTON,1,Friday,22,0.876155485686697
LZ_HOUSTON,1,Friday,23,0.8164293873129144
LZ_HOUSTON,1,Monday,0,0.7497407012186577
LZ_HOUSTON,1,Monday,1,0.7208786444326917
LZ_HOUSTON,1,Monday,2,0.7162140695985962
LZ_HOUSTON,1,Monday,3,0.7361282160056962
LZ_HOUSTON,1,Monday,4,0.799997009887927
LZ_HOUSTON,1,Monday,5,0.9058694031175657
LZ_HOUSTON,1,Monday,6,1.5033834986927603
LZ_HOUSTON,1,Monday,7,1.3883837883598675
LZ_HOUSTON,1,Monday,8,1.1710549676040045
LZ_HOUSTON,1,Monday,9,1.1469247631737798
LZ_HOUSTON,1,Monday,10,1.0611907747567264
LZ_HOUSTON,1,Monday,11,0.967338632061103
LZ_HOUSTON,1,Monday,12,0.9383195943912974
LZ_HOUSTON,1,Monday,13,0.9193249074466873
LZ_HOUSTON,1,Monday,14,0.907685896201997
LZ_HOUSTON,1,Monday,15,0.8809991459492391
LZ_HOUSTON,1,Monday,16,0.9115655666168938
LZ_HOUSTON,1,Monday,17,1.3372528719092054
LZ_HOUSTON,1,Monday,18,1.4023999387027026
LZ_HOUSTON,1,Monday,19,1.1194979601829202
LZ_HOUSTON,1,Monday,20,1.0458739256620764
LZ_HOUSTON,1,Monday,21,0.9780133321622061
LZ_HOUSTON,1,Monday,22,0.8877268981138
LZ_HOUSTON,1,Monday,23,0.8042354937516002
LZ_HOUSTON,1,Saturday,0,0.8799222576413714
LZ_HOUSTON,1,Saturday,1,0.8159261242792295
LZ_HOUSTON,1,Saturday,2,0.7814704487900884
LZ_HOUSTON,1,Saturday,3,0.7732128831949735
LZ_HOUSTON,1,Saturday,4,0.8156312112222611
LZ_HOUSTON,1,Saturday,5,0.8739011160616
LZ_HOUSTON,1,Saturday,6,1.0543633308381777
LZ_HOUSTON,1,Saturday,7,1.168003162123333
LZ_HOUSTON,1,Saturday,8,1.3561822685572507
LZ_HOUSTON,1,Saturday,9,1.3148452884055137
LZ_HOUSTON,1,Saturday,10,1.1552973245856113
LZ_HOUSTON,1,Saturday,11,1.0680522118991274
LZ_HOUSTON,1,Saturday,12,0.9659877180999817
LZ_HOUSTON,1,Saturday,13,0.9091923785454847
LZ_HOUSTON,1,Saturday,14,0.8856976383403359
LZ_HOUSTON,1,Saturday,15,0.8663316809327445
LZ_HOUSTON,1,Saturday,16,0.889850997225974
LZ_HOUSTON,1,Saturday,17,1.1928495871729206
LZ_HOUSTON,1,Saturday,18,1.3511195944126264
LZ_HOUSTON,1,Saturday,19,1.1196865729566776
LZ_HOUSTON,1,Saturday,20,1.0292711449077834
LZ_HOUSTON,1,Saturday,21,0.9785215230211386
LZ_HOUSTON,1,Saturday,22,0.9079389980533691
LZ_HOUSTON,1,Saturday,23,0.8467445387324268
LZ_HOUSTON,1,Sunday,0,0.84886735828963
LZ_HOUSTON,1,Sunday,1,0.7760005525835859
LZ_HOUSTON,1,Sunday,2,0.7409651037279803
LZ_HOUSTON,1,Sunday,3,0.751084806116358
LZ_HOUSTON,1,Sunday,4,0.7850810679296362
LZ_HOUSTON,1,Sunday,5,0.8477044585041685
LZ_HOUSTON,1,Sunday,6,1.0596738725903077
LZ_HOUSTON,1,Sunday,7,1.1537697850181805
LZ_HOUSTON,1,Sunday,8,1.2382903311274662
LZ_HOUSTON,1,Sunday,9,1.1885330658388908
LZ_HOUSTON,1,Sunday,10,1.090230920144455
LZ_HOUSTON,1,Sunday,11,1.024193057859419
LZ_HOUSTON,1,Sunday,12,0.9652068219330321
LZ_HOUSTON,1,Sunday,13,0.9314085005087687
LZ_HOUSTON,1,Sunday,14,0.9004308296279647
LZ_HOUSTON,1,Sunday,15,0.8986246235782055
LZ_HOUSTON,1,Sunday,16,0.9227733510380014
LZ_HOUSTON,1,Sunday,17,1.2744391946712796
LZ_HOUSTON,1,Sunday,18,1.5434154407936584
LZ_HOUSTON,1,Sunday,19,1.1938774563422883
LZ_HOUSTON,1,Sunday,20,1.0830555810426714
LZ_HOUSTON,1,Sunday,21,1.0120692090322674
LZ_HOUSTON,1,Sunday,22,0.9141134590186073
LZ_HOUSTON,1,Sunday,23,0.8561911526831747
LZ_HOUSTON,1,Thursday,0,0.707630212898276
LZ_HOUSTON,1,Thursday,1,0.6775254858677087
LZ_HOUSTON,1,Thursday,2,0.6835506594658208
LZ_HOUSTON,1,Thursday,3,0.7080953140181302
LZ_HOUSTON,1,Thursday,4,0.7887692173528522
LZ_HOUSTON,1,Thursday,5,1.0254634054386882
LZ_HOUSTON,1,Thursday,6,1.9188592337987573
LZ_HOUSTON,1,Thursday,7,1.6976402284280727
LZ_HOUSTON,1,Thursday,8,1.240107572251433
LZ_HOUSTON,1,Thursday,9,1.095207432456835
LZ_HOUSTON,1,Thursday,10,1.036541268475217
LZ_HOUSTON,1,Thursday,11,0.9478549413030055
LZ_HOUSTON,1,Thursday,12,0.906545505475949
LZ_HOUSTON,1,Thursday,13,0.8835230000431629
LZ_HOUSTON,1,Thursday,14,0.8535662597325493
LZ_HOUSTON,1,Thursday,15,0.8521709563729865
LZ_HOUSTON,1,Thursday,16,0.8772652758851236
LZ_HOUSTON,1,Thursday,17,1.24528710744981
LZ_HOUSTON,1,Thursday,18,1.2884569477562835
LZ_HOUSTON,1,Thursday,19,1.040473487033985
LZ_HOUSTON,1,Thursday,20,0.9861200788910157
LZ_HOUSTON,1,Thursday,21,0.9112810805144652
LZ_HOUSTON,1,Thursday,22,0.8476256499744107
LZ_HOUSTON,1,Thursday,23,0.7804396791154622
LZ_HOUSTON,1,Tuesday,0,0.6250701679273107
LZ_HOUSTON,1,Tuesday,1,0.6010941439512868
LZ_HOUSTON,1,Tuesday,2,0.5976499690785405
LZ_HOUSTON,1,Tuesday,3,0.6303981732553161
LZ_HOUSTON,1,Tuesday,4,0.7196993482707769
LZ_HOUSTON,1,Tuesday,5,0.8706721849578993
LZ_HOUSTON,1,Tuesday,6,1.5406878835450264
LZ_HOUSTON,1,Tuesday,7,1.491156462585034
LZ_HOUSTON,1,Tuesday,8,1.1831787260358688
LZ_HOUSTON,1,Tuesday,9,1.1274059274059276
LZ_HOUSTON,1,Tuesday,10,1.022044622044622
LZ_HOUSTON,1,Tuesday,11,0.9490319204604919
LZ_HOUSTON,1,Tuesday,12,0.9114123971266829
LZ_HOUSTON,1,Tuesday,13,0.8893011750154608
LZ_HOUSTON,1,Tuesday,14,0.8853241996099139
LZ_HOUSTON,1,Tuesday,15,0.880281623138766
LZ_HOUSTON,1,Tuesday,16,0.9308596165739024
LZ_HOUSTON,1,Tuesday,17,1.4920698349269776
LZ_HOUSTON,1,Tuesday,18,1.6451358165643881
LZ_HOUSTON,1,Tuesday,19,1.2312830027115742
LZ_HOUSTON,1,Tuesday,20,1.0879025736168595
LZ_HOUSTON,1,Tuesday,21,1.001798201798202
LZ_HOUSTON,1,Tuesday,22,0.8846391703534561
LZ_HOUSTON,1,Tuesday,23,0.8019028590457162
LZ_HOUSTON,1,Wednesday,0,0.5675877632429092
LZ_HOUSTON,1,Wednesday,1,0.5507626904385119
LZ_HOUSTON,1,Wednesday,2,0.5568305038719765
LZ_HOUSTON,1,Wednesday,3,0.5803376625808808
LZ_HOUSTON,1,Wednesday,4,0.6904272751959397
LZ_HOUSTON,1,Wednesday,5,1.053372412049479
LZ_HOUSTON,1,Wednesday,6,3.396027829539389
LZ_HOUSTON,1,Wednesday,7,3.40747427265832
LZ_HOUSTON,1,Wednesday,8,1.5581096139260064
LZ_HOUSTON,1,Wednesday,9,0.9010777859972094
LZ_HOUSTON,1,Wednesday,10,0.8596668320957366
LZ_HOUSTON,1,Wednesday,11,0.7910331201483243
LZ_HOUSTON,1,Wednesday,12,0.7421909675727809
LZ_HOUSTON,1,Wednesday,13,0.7123612970887604
LZ_HOUSTON,1,Wednesday,14,0.6835654022267377
LZ_HOUSTON,1,Wednesday,15,0.6758195761894505
LZ_HOUSTON,1,Wednesday,16,0.6936634423604543
LZ_HOUSTON,1,Wednesday,17,0.9606921801990767
LZ_HOUSTON,1,Wednesday,18,1.0303596677684865
LZ_HOUSTON,1,Wednesday,19,0.8321743934527543
LZ_HOUSTON,1,Wednesday,20,0.7745826037287088
LZ_HOUSTON,1,Wednesday,21,0.7176500332418791
LZ_HOUSTON,1,Wednesday,22,0.6610920191398313
LZ_HOUSTON,1,Wednesday,23,0.603140655286395
LZ_HOUSTON,2,Friday,0,0.7053233283052596
LZ_HOUSTON,2,Friday,1,0.6593446091581231
LZ_HOUSTON,2,Friday,2,0.6363408722489867
LZ_HOUSTON,2,Friday,3,0.6706164402436
LZ_HOUSTON,2,Friday,4,0.7342217727973622
LZ_HOUSTON,2,Friday,5,0.852144679127823
LZ_HOUSTON,2,Friday,6,1.534205478483718
LZ_HOUSTON,2,Friday,7,1.2554001871449845
LZ_HOUSTON,2,Friday,8,1.1546150648118307
LZ_HOUSTON,2,Friday,9,1.1295122369097355
LZ_HOUSTON,2,Friday,10,1.078472695642589
LZ_HOUSTON,2,Friday,11,1.0630601919134675
LZ_HOUSTON,2,Friday,12,1.030337376160221
LZ_HOUSTON,2,Friday,13,1.0382161560516003
LZ_HOUSTON,2,Friday,14,1.0599259327595978
LZ_HOUSTON,2,Friday,15,1.0366058944679606
LZ_HOUSTON,2,Friday,16,1.0319188830727242
LZ_HOUSTON,2,Friday,17,1.1806092875191547
LZ_HOUSTON,2,Friday,18,1.5124957017757208
LZ_HOUSTON,2,Friday,19,1.0707376891068918
LZ_HOUSTON,2,Friday,20,0.9985059552122034
LZ_HOUSTON,2,Friday,21,0.9522971986959756
LZ_HOUSTON,2,Friday,22,0.8463362355582659
LZ_HOUSTON,2,Friday,23,0.7687561328322033
LZ_HOUSTON,2,Monday,0,0.6563738104963316
LZ_HOUSTON,2,Monday,1,0.6082161047275291
LZ_HOUSTON,2,Monday,2,0.5944975891376032
LZ_HOUSTON,2,Monday,3,0.6245925827130032
LZ_HOUSTON,2,Monday,4,0.6978437399150452
LZ_HOUSTON,2,Monday,5,0.85117673187328
LZ_HOUSTON,2,Monday,6,1.3922578509326091
LZ_HOUSTON,2,Monday,7,1.288997440877604
LZ_HOUSTON,2,Monday,8,1.1314917337607668
LZ_HOUSTON,2,Monday,9,1.1236893280189963
LZ_HOUSTON,2,Monday,10,1.0646997109823149
