SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
LZ_LCRA,1,Friday,0,0.7969099623838182
LZ_LCRA,1,Friday,1,0.7434499700745965
LZ_LCRA,1,Friday,2,0.7474951983100473
LZ_LCRA,1,Friday,3,0.7684480271942687
LZ_LCRA,1,Friday,4,0.8352790733116875
LZ_LCRA,1,Friday,5,0.9864301163608691
LZ_LCRA,1,Friday,6,1.6115268818940711
LZ_LCRA,1,Friday,7,1.4293947196045202
LZ_LCRA,1,Friday,8,1.1728497361215262
LZ_LCRA,1,Friday,9,1.0948276993168125
LZ_LCRA,1,Friday,10,1.0359417721289021
LZ_LCRA,1,Friday,11,0.9662281981071804
LZ_LCRA,1,Friday,12,0.9123079702502127
LZ_LCRA,1,Friday,13,0.882949786888737
LZ_LCRA,1,Friday,14,0.8548754184762368
LZ_LCRA,1,Friday,15,0.8397118683241874
LZ_LCRA,1,Friday,16,0.8794132400481632
LZ_LCRA,1,Friday,17,1.308813006095093
LZ_LCRA,1,Friday,18,1.325526823355339
LZ_LCRA,1,Friday,19,1.0961599601129193
LZ_LCRA,1,Friday,20,1.0221104827729595
LZ_LCRA,1,Friday,21,0.976934730323164
LZ_LCRA,1,Friday,22,0.8823442137995976
LZ_LCRA,1,Friday,23,0.830071144745089
LZ_LCRA,1,Monday,0,0.7640769724574329
LZ_LCRA,1,Monday,1,0.7324840277565493
LZ_LCRA,1,Monday,2,0.7287699079876502
LZ_LCRA,1,Monday,3,0.7503209733133617
LZ_LCRA,1,Monday,4,0.8140800293461316
LZ_LCRA,1,Monday,5,0.9397410815272217
LZ_LCRA,1,Monday,6,1.5426665240118609
LZ_LCRA,1,Monday,7,1.3966236664323053
LZ_LCRA,1,Monday,8,1.1672653073701587
LZ_LCRA,1,Monday,9,1.1483508085470608
LZ_LCRA,1,Monday,10,1.050935407941797
LZ_LCRA,1,Monday,11,0.9590911869898818
LZ_LCRA,1,Monday,12,0.9141549231192493
LZ_LCRA,1,Monday,13,0.8898068046342433
LZ_LCRA,1,Monday,14,0.8719698590774311
LZ_LCRA,1,Monday,15,0.8541329135206188
LZ_LCRA,1,Monday,16,0.8912053312138906
LZ_LCRA,1,Monday,17,1.3156466848042063
LZ_LCRA,1,Monday,18,1.3943080732430535
LZ_LCRA,1,Monday,19,1.1273270565218723
LZ_LCRA,1,Monday,20,1.055772934307462
LZ_LCRA,1,Monday,21,0.984654418732614
LZ_LCRA,1,Monday,22,0.8982438174426071
LZ_LCRA,1,Monday,23,0.8083712897013421
LZ_LCRA,1,Saturday,0,0.8830303940714035
LZ_LCRA,1,Saturday,1,0.8165339742626808
LZ_LCRA,1,Saturday,2,0.7855640678984527
LZ_LCRA,1,Saturday,3,0.780206299133744
LZ_LCRA,1,Saturday,4,0.8223423964748885
LZ_LCRA,1,Saturday,5,0.8898402683891642
LZ_LCRA,1,Saturday,6,1.0736317660607881
LZ_LCRA,1,Saturday,7,1.1850182765009263
LZ_LCRA,1,Saturday,8,1.3797506384257174
LZ_LCRA,1,Saturday,9,1.3275749837264033
LZ_LCRA,1,Saturday,10,1.1533223173601723
LZ_LCRA,1,Saturday,11,1.0604376345701265
LZ_LCRA,1,Saturday,12,0.9556857443292773
LZ_LCRA,1,Saturday,13,0.8931700966401281
LZ_LCRA,1,Saturday,14,0.8665815432376945
LZ_LCRA,1,Saturday,15,0.8485053327324621
LZ_LCRA,1,Saturday,16,0.8724650743578188
LZ_LCRA,1,Saturday,17,1.1798607981573281
LZ_LCRA,1,Saturday,18,1.3438235441390016
LZ_LCRA,1,Saturday,19,1.123228681588303
LZ_LCRA,1,Saturday,20,1.0298683090481198
LZ_LCRA,1,Saturday,21,0.972034449952431
LZ_LCRA,1,Saturday,22,0.9107205447899455
LZ_LCRA,1,Saturday,23,0.8468028641530218
LZ_LCRA,1,Sunday,0,0.8474226353107347
LZ_LCRA,1,Sunday,1,0.7710251023144045
LZ_LCRA,1,Sunday,2,0.7404010912147629
LZ_LCRA,1,Sunday,3,0.7531756787020419
LZ_LCRA,1,Sunday,4,0.787499570326375
LZ_LCRA,1,Sunday,5,0.8554223769857432
