SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
LZ_NORTH,1,Friday,0,0.8017923984283444
LZ_NORTH,1,Friday,1,0.7498310325512949
LZ_NORTH,1,Friday,2,0.7511207657377419
LZ_NORTH,1,Friday,3,0.7755016834738467
LZ_NORTH,1,Friday,4,0.8427166245367607
LZ_NORTH,1,Friday,5,0.9846864852910479
LZ_NORTH,1,Friday,6,1.6154404211474906
LZ_NORTH,1,Friday,7,1.444525971381978
LZ_NORTH,1,Friday,8,1.190969387438743
LZ_NORTH,1,Friday,9,1.0894773066898709
LZ_NORTH,1,Friday,10,1.0372431126387653
LZ_NORTH,1,Friday,11,0.9639515440627837
LZ_NORTH,1,Friday,12,0.9042765816283295
LZ_NORTH,1,Friday,13,0.8720580545284311
LZ_NORTH,1,Friday,14,0.8415509041567025
LZ_NORTH,1,Friday,15,0.8337380973541868
LZ_NORTH,1,Friday,16,0.8739926543081016
LZ_NORTH,1,Friday,17,1.2964050754307896
LZ_NORTH,1,Friday,18,1.3288964307047442
LZ_NORTH,1,Friday,19,1.0972901134923867
LZ_NORTH,1,Friday,20,1.0126637744124376
LZ_NORTH,1,Friday,21,0.9773697297140885
LZ_NORTH,1,Friday,22,0.8802677023113922
LZ_NORTH,1,Friday,23,0.8342341485797434
LZ_NORTH,1,Monday,0,0.7622440709226763
LZ_NORTH,1,Monday,1,0.73367337879365
LZ_NORTH,1,Monday,2,0.7310156399909499
LZ_NORTH,1,Monday,3,0.7520713465399276
LZ_NORTH,1,Monday,4,0.8189272243526774
LZ_NORTH,1,Monday,5,0.9316520080534069
LZ_NORTH,1,Monday,6,1.5377310127760484
LZ_NORTH,1,Monday,7,1.3997118873668624
LZ_NORTH,1,Monday,8,1.1726126889844173
LZ_NORTH,1,Monday,9,1.1435150314031315
LZ_NORTH,1,Monday,10,1.0464617420217717
LZ_NORTH,1,Monday,11,0.9555029226535002
LZ_NORTH,1,Monday,12,0.9086946435680143
LZ_NORTH,1,Monday,13,0.8869745023183615
LZ_NORTH,1,Monday,14,0.8706385732983168
LZ_NORTH,1,Monday,15,0.8551503713101679
