SettlementPoint,month_of_year,day_of_week,Hour,NormalizedPrice
LZ_SOUTH,1,Friday,0,0.775141961066055
LZ_SOUTH,1,Friday,1,0.7176004089583995
LZ_SOUTH,1,Friday,2,0.7240774257726688
LZ_SOUTH,1,Friday,3,0.7405683969107062
LZ_SOUTH,1,Friday,4,0.8061785877119054
LZ_SOUTH,1,Friday,5,0.9705356526064189
LZ_SOUTH,1,Friday,6,1.6198289559126267
LZ_SOUTH,1,Friday,7,1.4521781179623923
LZ_SOUTH,1,Friday,8,1.191041600464223
LZ_SOUTH,1,Friday,9,1.094593735752083
LZ_SOUTH,1,Friday,10,1.0440155293662527
LZ_SOUTH,1,Friday,11,0.9774547866093757
LZ_SOUTH,1,Friday,12,0.9307229997651252
LZ_SOUTH,1,Friday,13,0.9066718247005346
LZ_SOUTH,1,Friday,14,0.888766078558698
LZ_SOUTH,1,Friday,15,0.863786457397864
LZ_SOUTH,1,Friday,16,0.920333245830973
LZ_SOUTH,1,Friday,17,1.3145912488428966
LZ_SOUTH,1,Friday,18,1.3081363378880615
LZ_SOUTH,1,Friday,19,1.094240042001133
LZ_SOUTH,1,Friday,20,1.0252255488470412
LZ_SOUTH,1,Friday,21,0.9708009229196314
LZ_SOUTH,1,Friday,22,0.8518492933033063
LZ_SOUTH,1,Friday,23,0.8116608408516283
LZ_SOUTH,1,Monday,0,0.7289069416237046
LZ_SOUTH,1,Monday,1,0.6944539915638182
LZ_SOUTH,1,Monday,2,0.6947872728219548
LZ_SOUTH,1,Monday,3,0.7157631620059366
LZ_SOUTH,1,Monday,4,0.7726292766755194
LZ_SOUTH,1,Monday,5,0.8864864864864865
LZ_SOUTH,1,Monday,6,1.4633546841639327
LZ_SOUTH,1,Monday,7,1.3331458626256314
LZ_SOUTH,1,Monday,8,1.148237254595636
LZ_SOUTH,1,Monday,9,1.1540071863771284
LZ_SOUTH,1,Monday,10,1.071290944123314
LZ_SOUTH,1,Monday,11,0.9817424360776961
LZ_SOUTH,1,Monday,12,0.9454980992553247
LZ_SOUTH,1,Monday,13,0.9281674738322137
LZ_SOUTH,1,Monday,14,0.9159818778315888
LZ_SOUTH,1,Monday,15,0.896026662500651
LZ_SOUTH,1,Monday,16,0.9367286361506014
LZ_SOUTH,1,Monday,17,1.321356038119044
LZ_SOUTH,1,Monday,18,1.3929073582252771
LZ_SOUTH,1,Monday,19,1.1714627922720409
LZ_SOUTH,1,Monday,20,1.0993698901213351
LZ_SOUTH,1,Monday,21,1.0249023590064053
LZ_SOUTH,1,Monday,22,0.8992969848461178
LZ_SOUTH,1,Monday,23,0.8234963286986409
LZ_SOUTH,1,Saturday,0,0.9011704991036193
LZ_SOUTH,1,Saturday,1,0.8344949480702281
LZ_SOUTH,1,Saturday,2,0.8044956192614368
LZ_SOUTH,1,Saturday,3,0.8121997270489085
LZ_SOUTH,1,Saturday,4,0.8524711995743287
LZ_SOUTH,1,Saturday,5,0.9225785804403209
LZ_SOUTH,1,Saturday,6,1.1720515980673585
LZ_SOUTH,1,Saturday,7,1.2702906452482094
LZ_SOUTH,1,Saturday,8,1.4350418229942326
LZ_SOUTH,1,Saturday,9,1.3337444784795673
LZ_SOUTH,1,Saturday,10,1.1403013356705054
LZ_SOUTH,1,Saturday,11,1.0423190920825702
LZ_SOUTH,1,Saturday,12,0.9341113963403542
LZ_SOUTH,1,Saturday,13,0.867575919994008
LZ_SOUTH,1,Saturday,14,0.8476386228712782
LZ_SOUTH,1,Saturday,15,0.8287985774637339
LZ_SOUTH,1,Saturday,16,0.8393508705544526
LZ_SOUTH,1,Saturday,17,1.123679139474506
LZ_SOUTH,1,Saturday,18,1.2844148428585742
LZ_SOUTH,1,Saturday,19,1.0796489961800466
LZ_SOUTH,1,Saturday,20,1.0049658422039196
LZ_SOUTH,1,Saturday,21,0.9528814044043762
LZ_SOUTH,1,Saturday,22,0.8731088701322831
LZ_SOUTH,1,Saturday,23,0.8426659714811829
LZ_SOUTH,1,Sunday,0,0.8652271904522789
LZ_SOUTH,1,Sunday,1,0.7920311095021779
LZ_SOUTH,1,Sunday,2,0.7658262585685425
LZ_SOUTH,1,Sunday,3,0.7796293484988265
LZ_SOUTH,1,Sunday,4,0.8098046313921036
LZ_SOUTH,1,Sunday,5,0.8798477222566067
LZ_SOUTH,1,Sunday,6,1.1381827099365898
LZ_SOUTH,1,Sunday,7,1.2308339074889354
LZ_SOUTH,1,Sunday,8,1.281585370126003
LZ_SOUTH,1,Sunday,9,1.187836464914227
LZ_SOUTH,1,Sunday,10,1.075940350098677
LZ_SOUTH,1,Sunday,11,0.990319152663109
LZ_SOUTH,1,Sunday,12,0.9228451648313151
LZ_SOUTH,1,Sunday,13,0.8921794168136116
LZ_SOUTH,1,Sunday,14,0.8694311772330761
LZ_SOUTH,1,Sunday,15,0.8661614097369005
LZ_SOUTH,1,Sunday,16,0.9010545000175166
LZ_SOUTH,1,Sunday,17,1.234710917520115
LZ_SOUTH,1,Sunday,18,1.4719325493676503
LZ_SOUTH,1,Sunday,19,1.1830953020447725
LZ_SOUTH,1,Sunday,20,1.0933635397568695
LZ_SOUTH,1,Sunday,21,1.0337136384337813
LZ_SOUTH,1,Sunday,22,0.8975278222180701
LZ_SOUTH,1,Sunday,23,0.836920346128245
LZ_SOUTH,1,Thursday,0,0.7211281295512317
LZ_SOUTH,1,Thursday,1,0.6801155647984953
LZ_SOUTH,1,Thursday,2,0.6925367293773481
LZ_SOUTH,1,Thursday,3,0.7232866855908494
LZ_SOUTH,1,Thursday,4,0.8112005074500163
LZ_SOUTH,1,Thursday,5,1.061119640493123
LZ_SOUTH,1,Thursday,6,2.0930230356429984
LZ_SOUTH,1,Thursday,7,1.8781520361905275
LZ_SOUTH,1,Thursday,8,1.3764202998941233
LZ_SOUTH,1,Thursday,9,1.1791775080985298
LZ_SOUTH,1,Thursday,10,1.0022137822540818
LZ_SOUTH,1,Thursday,11,0.9226690987239589
LZ_SOUTH,1,Thursday,12,0.8617940314663192
LZ_SOUTH,1,Thursday,13,0.8381067191368301
LZ_SOUTH,1,Thursday,14,0.8056715744362587
LZ_SOUTH,1,Thursday,15,0.7962420927895077
LZ_SOUTH,1,Thursday,16,0.8181116737172134
LZ_SOUTH,1,Thursday,17,1.1310265606533736
LZ_SOUTH,1,Thursday,18,1.2107605912045154
LZ_SOUTH,1,Thursday,19,1.002346325168795
LZ_SOUTH,1,Thursday,20,0.9640224881145297
LZ_SOUTH,1,Thursday,21,0.8790814144853627
LZ_SOUTH,1,Thursday,22,0.8027745650146666
LZ_SOUTH,1,Thursday,23,0.7490189457473448
LZ_SOUTH,1,Tuesday,0,0.6287263615014954
LZ_SOUTH,1,Tuesday,1,0.5935030897066166
LZ_SOUTH,1,Tuesday,2,0.5944235298468468
LZ_SOUTH,1,Tuesday,3,0.6214943318282584
LZ_SOUTH,1,Tuesday,4,0.6990742865047999
LZ_SOUTH,1,Tuesday,5,0.8982345218470987
LZ_SOUTH,1,Tuesday,6,1.4932333267815894
LZ_SOUTH,1,Tuesday,7,1.4154232620699905
LZ_SOUTH,1,Tuesday,8,1.1566809640788647
LZ_SOUTH,1,Tuesday,9,1.0918063706237147
LZ_SOUTH,1,Tuesday,10,1.0037235364899044
LZ_SOUTH,1,Tuesday,11,0.9522775072234692
LZ_SOUTH,1,Tuesday,12,0.9210318517488706
LZ_SOUTH,1,Tuesday,13,0.8848388305205349
LZ_SOUTH,1,Tuesday,14,0.8848388305205349
LZ_SOUTH,1,Tuesday,15,0.9006999865084296
LZ_SOUTH,1,Tuesday,16,0.9511105206171059
LZ_SOUTH,1,Tuesday,17,1.4597194438185666
LZ_SOUTH,1,Tuesday,18,1.630378907675882
LZ_SOUTH,1,Tuesday,19,1.30932609947739
LZ_SOUTH,1,Tuesday,20,1.1773251215097411
LZ_SOUTH,1,Tuesday,21,1.082569096359262
LZ_SOUTH,1,Tuesday,22,0.8637344530195437
LZ_SOUTH,1,Tuesday,23,0.7858257697214915
LZ_SOUTH,1,Wednesday,0,0.5920066926043284
LZ_SOUTH,1,Wednesday,1,0.562591321388257
LZ_SOUTH,1,Wednesday,2,0.5790661295775293
LZ_SOUTH,1,Wednesday,3,0.6133771866995948
LZ_SOUTH,1,Wednesday,4,0.721412322872319
LZ_SOUTH,1,Wednesday,5,1.074094235077727
LZ_SOUTH,1,Wednesday,6,3.3299327874582434
LZ_SOUTH,1,Wednesday,7,3.349116725207854
LZ_SOUTH,1,Wednesday,8,1.5899565095318042
LZ_SOUTH,1,Wednesday,9,0.934649698317108
LZ_SOUTH,1,Wednesday,10,0.8425117894121624
LZ_SOUTH,1,Wednesday,11,0.7519966078580801
LZ_SOUTH,1,Wednesday,12,0.7082104732381777
LZ_SOUTH,1,Wednesday,13,0.6722216810584399
LZ_SOUTH,1,Wednesday,14,0.6498610482406129
LZ_SOUTH,1,Wednesday,15,0.6434801542507778
LZ_SOUTH,1,Wednesday,16,0.6690449859902247
LZ_SOUTH,1,Wednesday,17,0.9343196520762543
LZ_SOUTH,1,Wednesday,18,1.0397419221755548
LZ_SOUTH,1,Wednesday,19,0.8815397573930931
LZ_SOUTH,1,Wednesday,20,0.8325691464064497
LZ_SOUTH,1,Wednesday,21,0.7684851679740546
LZ_SOUTH,1,Wednesday,22,0.6641493000842306
LZ_SOUTH,1,Wednesday,23,0.5956647051071218
LZ_SOUTH,2,Friday,0,0.671325369797579
LZ_SOUTH,2,Friday,1,0.6211419029864994
LZ_SOUTH,2,Friday,2,0.6006186146780392
LZ_SOUTH,2,Friday,3,0.6354721015888884
LZ_SOUTH,2,Friday,4,0.6949313171077159
LZ_SOUTH,2,Friday,5,0.8215702815009216
LZ_SOUTH,2,Friday,6,1.528304572263706
LZ_SOUTH,2,Friday,7,1.3032149217358702
LZ_SOUTH,2,Friday,8,1.1870458892672784
LZ_SOUTH,2,Friday,9,1.143472087703037
LZ_SOUTH,2,Friday,10,1.082540971940166
LZ_SOUTH,2,Friday,11,1.067877512905163
LZ_SOUTH,2,Friday,12,1.0245258849626644
LZ_SOUTH,2,Friday,13,1.050353568490226
LZ_SOUTH,2,Friday,14,1.0795693997493605
LZ_SOUTH,2,Friday,15,1.0913168299989933
LZ_SOUTH,2,Friday,16,1.0997871993279247
LZ_SOUTH,2,Friday,17,1.1995709271930097
LZ_SOUTH,2,Friday,18,1.4787043112097007
LZ_SOUTH,2,Friday,19,1.0742650045302589
LZ_SOUTH,2,Friday,20,1.0100012844412507
LZ_SOUTH,2,Friday,21,0.9456820209468066
LZ_SOUTH,2,Friday,22,0.8310126604249765
LZ_SOUTH,2,Friday,23,0.7576953652499626
LZ_SOUTH,2,Monday,0,0.6389368794947357
LZ_SOUTH,2,Monday,1,0.5871547946311686
LZ_SOUTH,2,Monday,2,0.5747074405469375
LZ_SOUTH,2,Monday,3,0.6048977335670245
LZ_SOUTH,2,Monday,4,0.6737403366381453
LZ_SOUTH,2,Monday,5,0.8271212195313361
LZ_SOUTH,2,Monday,6,1.3656057678199955
LZ_SOUTH,2,Monday,7,1.2600489295662192
LZ_SOUTH,2,Monday,8,1.1104350090932562
LZ_SOUTH,2,Monday,9,1.1095069169027652
LZ_SOUTH,2,Monday,10,1.0708000131934674
LZ_SOUTH,2,Monday,11,1.0466969130698354
LZ_SOUTH,2,Monday,12,1.0257056514672613
LZ_SOUTH,2,Monday,13,1.0425477950417583
LZ_SOUTH,2,Monday,14,1.0336763255738304
LZ_SOUTH,2,Monday,15,1.0581888781344437
LZ_SOUTH,2,Monday,16,1.0966501103815527
LZ_SOUTH,2,Monday,17,1.2246722390110358
LZ_SOUTH,2,Monday,18,1.6734048131133967
LZ_SOUTH,2,Monday,19,1.2061376920303495
LZ_SOUTH,2,Monday,20,1.1283417290039046
LZ_SOUTH,2,Monday,21,1.0450318064927782
LZ_SOUTH,2,Monday,22,0.8589220254702162
LZ_SOUTH,2,Monday,23,0.7370689802245846
LZ_SOUTH,2,Saturday,0,0.792991201238624
LZ_SOUTH,2,Saturday,1,0.717555983535365
LZ_SOUTH,2,Saturday,2,0.6974358974358974
LZ_SOUTH,2,Saturday,3,0.7059854235111968
LZ_SOUTH,2,Saturday,4,0.7497904157697972
LZ_SOUTH,2,Saturday,5,0.8458895056833201
LZ_SOUTH,2,Saturday,6,0.9554926173482874
LZ_SOUTH,2,Saturday,7,1.048510252633964
LZ_SOUTH,2,Saturday,8,1.2040028699822516
LZ_SOUTH,2,Saturday,9,1.3132132472338658
LZ_SOUTH,2,Saturday,10,1.2241833767606962
LZ_SOUTH,2,Saturday,11,1.0955175408783657
LZ_SOUTH,2,Saturday,12,1.0436161776367963
LZ_SOUTH,2,Saturday,13,1.0618330123484763
LZ_SOUTH,2,Saturday,14,1.0582379819493222
